date,open,high,low,close,volume,vwap,ma14,ma30,ma50,ma200,rsi14,rsi30,rsi50,roc14,vol14
2025-02-25,90.93,91.35,88.905,89.64,13304336.0,89.7279,1.0085022630203353,1.011910605384501,0.9927197679607317,1.008280901383311,47.465783316395424,49.066434691308366,49.391660496813,-0.004442470013327426,0.013916524955294067
2025-02-26,89.75,89.985,88.715,89.13,12152848.0,89.2241,1.0133913545222868,1.0172818729197053,0.9981151127566477,1.0138275552563674,45.616740138339,48.129603407761486,48.806562929621805,-0.012191067272525835,0.013971745394987845
2025-02-27,89.75,90.705,88.98,89.61,15024001.0,89.9824,1.0087920672118864,1.011233865268013,0.9927552728490124,1.0081324628947663,47.68245100787821,49.07625792273546,49.38242829298267,0.011742124872981874,0.013083135831112168
2025-02-28,89.32,91.07,88.76,91.0,13313552.0,90.3356,0.995298273155416,0.9952124542124543,0.9779824175824176,0.992578021978022,53.223480348713146,51.71606055910897,51.01080346879381,0.027551942186088585,0.013643227552480494
2025-03-03,91.35,91.8725,87.01,87.82,24750876.0,88.7752,1.029150535185607,1.029192287254232,1.013523115463448,1.028191755864268,42.20937985379401,46.064677331149205,47.44750050250872,-0.029720472875925497,0.015580091903289791
2025-03-04,86.53,88.38,85.43,86.97,25338516.0,86.6775,1.0357019661952398,1.0365719980069756,1.023511555708865,1.037853857652064,39.836357265077496,44.71358847763627,46.56039961375025,-0.04679964927663305,0.015415764754636754
2025-03-05,85.71,86.145,84.025,85.7,28255412.0,85.1741,1.0482663777296215,1.0489070400622325,1.039064177362894,1.05275495915986,36.531659264599384,42.77445196590871,45.26998652334572,-0.03751123090745734,0.014617319441004372
2025-03-06,85.29,86.485,84.62,85.96,23552147.0,85.5688,1.0419796583128367,1.0434775864743293,1.0365355979525361,1.0491234295020941,37.67162622711993,43.29526407636455,45.58503253508749,-0.04180135993757661,0.014425419548420897
2025-03-07,86.35,88.0594,86.35,87.43,22424565.0,87.3521,1.0223035571314194,1.024114529719013,1.0198604597964085,1.0310534141598993,43.81598494378446,46.16112013197958,47.334058257340246,-0.029310536249583463,0.015308297787006464
2025-03-10,87.905,89.29,87.26,88.08,20022674.0,88.0901,1.012148047229791,1.0153345443536177,1.013276566757493,1.0230892370572207,46.33517641911333,47.377654879767555,48.08693595398771,-0.035268346111719584,0.014903392213621114
2025-03-11,88.44,88.82,86.91,87.38,15115104.0,87.5846,1.0164633946964,1.0223315785458154,1.0220210574502175,1.0309132524605173,44.04477216937068,46.21429841645802,47.34321345878205,-0.050423820908498174,0.014656819912893195
2025-03-12,87.44,88.585,87.105,87.78,16120235.0,87.9099,1.0076978159684928,1.0170198222829803,1.018095238095238,1.0259706083390292,45.69663764220407,46.98384110160809,47.813838511255376,-0.054706009045875525,0.014401334193493865
