date,open,high,low,close,volume,vwap
2024-12-20,226.04,232.51,225.5,228.91,5458147.0,229.8277
2024-12-23,228.89,229.4,226.18,229.17,2961256.0,228.5625
2024-12-24,230.14,234.5,229.945,234.47,1276273.0,232.7977
2024-12-26,233.97,234.45,232.57,233.6,2055415.0,233.8031
2024-12-27,232.05,232.05,228.63,229.74,3048693.0,229.9813
2024-12-30,226.25,227.5092,224.63,226.05,2706597.0,226.4357
2024-12-31,227.28,227.95,223.97,224.35,2625399.0,225.4088
2025-01-02,224.44,225.12,219.99,221.4,4583242.0,222.2964
2025-01-03,222.64,226.02,221.52,225.88,3250769.0,224.418
2025-01-06,228.32,228.49,225.54,226.77,3393135.0,227.1131
2025-01-07,226.58,227.25,221.57,222.38,2777007.0,223.4513
2025-01-08,222.3,223.89,221.18,223.01,2654877.0,222.6937
2025-01-10,222.16,222.54,219.62,220.82,3434810.0,221.0976
2025-01-13,219.14,222.1,218.3,222.07,2711005.0,220.5342
2025-01-14,224.3,225.47,220.81,221.64,3381229.0,222.7333
2025-01-15,226.75,227.47,225.18,227.28,3098776.0,226.4564
2025-01-16,226.89,226.89,225.15,226.05,2425986.0,226.0278
2025-01-17,229.03,230.66,228.66,229.22,1942339.0,229.7376
2025-01-21,231.29,231.5,228.37,230.9,3018494.0,230.036
2025-01-22,230.41,231.39,229.64,230.03,2474403.0,230.4224
2025-01-23,229.69,231.42,229.08,231.42,1944382.0,230.3135
2025-01-24,231.47,231.71,229.565,230.01,1771911.0,230.402
2025-01-27,226.56,231.42,226.55,231.32,3534932.0,230.1273
2025-01-28,230.65,232.24,229.55,231.6,2605889.0,231.5139
2025-01-29,231.79,232.5,230.18,230.94,3269081.0,231.3039
2025-01-30,234.01,234.57,231.45,233.2,2693211.0,233.2913
2025-01-31,233.49,235.85,231.72,232.17,2546388.0,233.7245
2025-02-03,227.14,230.09,225.21,229.1,3730069.0,228.5797
2025-02-04,229.24,232.03,229.21,231.8,1993527.0,230.905
2025-02-05,230.31,230.88,228.63,229.17,2951570.0,229.5238
2025-02-06,229.82,230.69,228.67,230.08,3023255.0,229.602
2025-02-07,228.52,230.26,225.4,225.58,2768250.0,226.9536
2025-02-10,226.48,227.57,225.44,226.35,2981852.0,226.7049
2025-02-11,224.91,225.54,223.225,223.78,2769408.0,223.9284
2025-02-12,222.11,224.9,221.52,223.74,3951722.0,223.7149
